LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Date Code / Lot No.,Status
C434441,SZYY1206W,Yongyu Photoelectric,,1206,5mA 430mcd White 3.1V 100mW 1206 LED Indication - Discrete RoHS,YES,50,0.0178,0.89,,,-
C17710,0805W8F4700T5E,UNI-ROYAL(Uniroyal Elec),,0805,125mW 470Ω 150V ±100ppm/℃ Thick Film Resistor ±1% 0805 Chip Resistor - Surface Mount RoHS,YES,100,0.0018,0.18,,,-
C3013946,ESP32-S3-WROOM-1U-N16R8,Espressif Systems,,"SMD,19.2x18mm","SMD,19.2x18mm RF Transceiver Modules and Modems RoHS",YES,1,5.25,5.25,,,-
C7432139,PCF8575MS/TR,HGSEMI,,SSOP-24,16 400kHz SSOP-24 I/O Expanders RoHS,YES,2,1.7612,3.52,,,-
C29718,4D03WGJ0103T5E,UNI-ROYAL(Uniroyal Elec),,0603x4,"4 ±5% 10kΩ 62.5mW ±200ppm/℃ 0603x4 Resistor Networks, Arrays RoHS",YES,100,0.0064,0.64,,,-
C2890037,SK6812SIDE-A-RVS,OPSCO Optoelectronics,,"SMD-4P,4x2mm","SMD-4P,4x2mm LED Addressable, Specialty RoHS",YES,65,0.1482,9.63,,,-
C2892765,95-21SUGC/S400-A4/TR7,Everlight Elec,,"SMD,2.2x2.1mm","20mA 2300mcd 525nm Emerald Green 3.5V 95mW SMD,2.2x2.1mm LED Indication - Discrete RoHS",YES,20,0.0975,1.95,,,-
C44854,ATMEGA32U4-AU,Microchip Tech,,QFP-44(10x10),AVR 16MHz 26 QFP-44(10x10) Microcontrollers RoHS,YES,5,5.6255,28.13,,,-
C224996,DHN-04-V-T/R,Diptronics,,"SMD,P=1.27mm","4 SPST Black Slide, Recessed SMD,P=1.27mm DIP Switches/SIP Switches RoHS",YES,5,0.8082,4.04,,,-
C2904393,SLSS49E-3,Slkor(SLKORMICRO Elec.),,SOT-23,SOT-23 Switches (Solid State) RoHS,YES,60,0.1488,8.93,,,-
C49678,CC0805KRX7R9BB104,YAGEO,,0805,50V 100nF X7R ±10% 0805 Ceramic Capacitors RoHS,YES,100,0.0047,0.47,,,-
