LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Date Code / Lot No.,Status
C49678,CC0805KRX7R9BB104,YAGEO,,0805,50V 100nF X7R ±10% 0805 Ceramic Capacitors RoHS,YES,100,0.0047,0.47,,,-
C14267,CH340G,WCH(Jiangsu Qin Heng),,SOP-16,USB to UART USB 2.0 SOP-16 Interface Controllers RoHS,YES,10,0.4089,4.09,,,-
C9006,X322525MOB4SI,Yangxing Tech,,SMD3225-4P,Crystal Oscillator 12pF SMD3225-4P Crystals RoHS,YES,15,0.086,1.29,,,-
C963372,GT-USB-7014B,G-Switch,,SMD,"USB 2.0 1 16P -40℃~+85℃ Type-C SMD USB, DVI, HDMI Connector Assemblies RoHS",YES,10,0.1551,1.55,,,-
