LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Date Code / Lot No.,Status
C498276,FH44L-1AT-L2-DC3V,Zhejiang Fanhar,,"Through Hole,10x20.2mm","16A 3V 277V@AC 1 Set Normally Open: 1A (SPST NO) 16A@250VAC Through Hole,10x20.2mm Signal Relays RoHS",YES,4,1.4382,5.75,,,-
C505253,510650400,MOLEX,,P=2mm,2mm 1 -55℃~+105℃ 4 Non-Latching P=2mm Rectangular Connector Housings RoHS,YES,10,0.0422,0.42,,,-
C248339,502128000,MOLEX,,-,24~30 Rectangular Connector Contacts RoHS,YES,100,0.007,0.70,,,-
C2880291,DHT22,HAIGU,,-,-,-,4,1.556,6.22,,,-
C714634,RI40-1/4W-10KΩ±5%T,Huaxing Mechanical-Elec.,,"Through Hole,D2.4xL6.5mm","Glass Glaze Resistor 10kΩ 250mW ±200ppm/℃ ±5% Through Hole,D2.4xL6.5mm Through Hole Resistors RoHS",YES,40,0.0285,1.14,,,-
C258182,1N4148,onsemi,,DO-35,4A 4ns 100V 1V@10mA 200mA DO-35 Single Diodes RoHS,YES,20,0.0205,0.41,,,-
C33472,BC546-TA,"Jiangsu Changjing Electronics Technology Co., Ltd.",,TO-92-3,65V 625mW 100mA NPN TO-92-3 Single Bipolar Transistors RoHS,YES,20,0.0293,0.59,,,-
