LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price(€),Ext.Price(€),Estimated lead time (business days),Date Code / Lot No.,Status
C132230,ATMEGA328PB-AU,Microchip Tech,,TQFP-32(7x7),AVR 20MHz 27 TQFP-32(7x7) Microcontrollers RoHS,YES,5,1.86,9.30,,,-
C3038057,GZP6897D2.5KPW,Sencoch Semiconductor,,SOP-8,"-2.5Kpa~2.5Kpa I2C SOP-8 Pressure Sensors, Transducers - Industrial RoHS",YES,4,8.6588,34.64,,,-
C409345,A308000003,TXC Corp,,SMD3225-2P,Crystal Oscillator 12pF SMD3225-2P Crystals RoHS,YES,5,0.3569,1.78,,,-
C107107,CC0805JRNPO9BN100,YAGEO,,0805,50V 10pF NP0 ±5% 0805 Ceramic Capacitors RoHS,YES,100,0.0061,0.61,,,-
C415994,SE3578,Seaward Elec,,SOP-8-EP,Boost 2.4A 500kHz Adjustable 1 SOP-8-EP Voltage Regulators - DC DC Switching Regulators RoHS,YES,5,0.391,1.96,,,-
C17633,0805W8F3302T5E,UNI-ROYAL(Uniroyal Elec),,0805,125mW 33kΩ 150V ±100ppm/℃ Thick Film Resistor ±1% 0805 Chip Resistor - Surface Mount RoHS,YES,100,0.0019,0.19,,,-
C22463806,SL0420-2R2M,TECHFUSE,,"SMD,4.5x4.1mm","4.5A 2.2uH ±20% 5A SMD,4.5x4.1mm Fixed Inductors RoHS",YES,5,0.1081,0.54,,,-
