LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Date Code / Lot No.,Status
C262669,AFC01-S24FCA-00,JUSHUO,,"SMD,P=0.5mm,Surface Mount,Right Angle","Hinged Lid 24P 0.5mm Bottom Contact Surface Mount, Right Angle SMD,P=0.5mm,Surface Mount,Right Angle FFC, FPC (Flat Flexible) Connector Assemblies RoHS",YES,10,0.1042,1.04,,,-
C382139,TP4056,TPOWER,,ESOP-8,Lithium Battery 1 1A ESOP-8 Battery Management RoHS,YES,10,0.1197,1.20,,,-
C112161,ATMEGA32U4-MU,Microchip Tech,,VQFN-44-EP(7x7),AVR 16MHz 26 VQFN-44-EP(7x7) Microcontrollers RoHS,YES,2,3.7976,7.60,,,-
C2682778,X201616MOB4SI,Yangxing Tech,,SMD2016-4P,Crystal Oscillator 12pF SMD2016-4P Crystals RoHS,YES,10,0.0968,0.97,,,-
C519919,CC0805JRNPO9BN140,YAGEO,,0805,50V 14pF NP0 ±5% 0805 Ceramic Capacitors RoHS,YES,50,0.0103,0.52,,,-
C2909056,SK6805MICRO-J,OPSCO Optoelectronics,,"SMD,2.7x2.4mm","SMD,2.7x2.4mm LED Addressable, Specialty RoHS",YES,10,0.1808,1.81,,,-
C98863,IR204C-A-L,Everlight Elec,,"Through Hole,D=3mm","5.6mW/sr@20mA Through Hole,D=3mm LED Emitters - Infrared, UV, Visible RoHS",YES,10,0.0545,0.55,,,-
C376006,DS18B20,"UMW(Youtai Semiconductor Co., Ltd.)",,TO-92,-55℃~+125℃ ±0.4℃ 1-Wire 3V~5.5V TO-92 Analog and Digital Output RoHS,YES,2,0.7462,1.49,,,-
