LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Date Code / Lot No.,Status
C2909056,SK6805MICRO-J,OPSCO Optoelectronics,,"SMD,2.7x2.4mm","SMD,2.7x2.4mm LED Addressable, Specialty RoHS",YES,15,0.1518,2.28,,,-
C400229,CPG135001D01,Kailh,,Through Hole,"70,000,000 Cycles 50gf@±10gf Red Switch 2 Through Hole Pushbutton Switches RoHS",YES,10,0.7755,7.76,,,-
C141437,S108500006,Ckmtw(Shenzhen Cankemeng),,"Through Hole,P=2.54mm","40P 1x40P Brass -40℃~+105℃ Red Pin Header 2.54mm 2.54mm 6mm 3mm 1 Through Hole Through Hole,P=2.54mm Headers, Male Pins RoHS",YES,2,0.2114,0.42,,,-
C115245,S108500001,Ckmtw(Shenzhen Cankemeng),,"Through Hole,P=2.54mm","40P 1x40P Brass -40℃~+105℃ Blue Pin Header 2.54mm 2.54mm 6mm 3mm 1 Through Hole Through Hole,P=2.54mm Headers, Male Pins RoHS",YES,2,0.2276,0.46,,,-
