LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price(€),Ext.Price(€),Estimated lead time (business days),Date Code / Lot No.,Status
C42419935,XF-508PVS-B-B-R,XFCN,,"SMD-4P,16x6.7mm","SMD-4P,16x6.7mm Fuseholders RoHS",YES,10,0.307,3.07,,,-
C480584,1714955,Phoenix Contact,,"Through Hole,P=6.35mm","10~30 1x2P Green 32A 500V Through Hole 6.35mm 1 2 Through Hole,P=6.35mm Wire to Board RoHS",YES,10,0.7961,7.96,,,-
C19271387,XY-XHB2.54-3A11,XYECONN,,"Through Hole,P=2.5mm","3P 1x3P 2.5mm 3 2A 1 -25℃~+85℃ Through Hole Through Hole,P=2.5mm Headers, Male Pins RoHS",YES,40,0.0217,0.87,,,-
C5440953,SY8156IADC,Silergy Corp,,TSOT23-6,Buck 400kHz 6A Fixed 3.3V 1 TSOT23-6 Voltage Regulators - DC DC Switching Regulators RoHS,YES,15,0.2997,4.50,,,-
